deal_id,deal_name,account_name,rep_name,segment,stage,status,acv,close_date,created_date,days_in_pipeline,sales_cycle_days,deal_source,competitor_mentioned,closed_lost_reason,industry,company_size,region,champion_identified,economic_buyer_met,meddic_score,next_step,last_activity_date,close_date_pushed_count,days_since_last_activity
D001,Nextera Corp Platform Deal,Nextera Corp,Sarah Chen,Enterprise,Closed Won,Won,128000,2025-10-15,2025-06-02,135,135,Outbound SDR,,Won - Strong champion and clear ROI,Financial Services,2500,North America,Yes,Yes,9,,2025-10-15,0,0
D002,Brightline Solutions Annual,Brightline Solutions,Marcus Rivera,Mid-Market,Closed Won,Won,42000,2025-10-22,2025-08-10,73,73,Inbound Demo,,Won - Fast evaluation with IT buy-in,Technology,450,North America,Yes,Yes,8,,2025-10-22,0,0
D003,Orion Health Expansion,Orion Health Systems,Sarah Chen,Enterprise,Closed Lost,Lost,165000,2025-11-01,2025-05-20,165,165,Partner Referral,Salesforce,Lost - Chose Salesforce for existing ecosystem,Healthcare,5000,North America,Yes,No,5,,2025-11-01,3,0
D004,Quantum Dynamics Starter,Quantum Dynamics,Jake Morrison,SMB,Closed Won,Won,18000,2025-09-30,2025-08-15,46,46,Inbound Demo,,Won - Quick procurement no legal review,Technology,120,EMEA,No,Yes,6,,2025-09-30,0,0
D005,Atlas Manufacturing Suite,Atlas Manufacturing,Priya Patel,Enterprise,Closed Lost,Lost,210000,2025-11-15,2025-04-10,219,219,Outbound SDR,HubSpot,Lost - Budget reallocated to other priorities,Manufacturing,3200,North America,No,No,3,,2025-11-10,4,5
D006,Crestview Financial Annual,Crestview Financial,Marcus Rivera,Mid-Market,Closed Won,Won,55000,2025-10-05,2025-07-20,77,77,Webinar Lead,,Won - Compliance requirement drove urgency,Financial Services,800,North America,Yes,Yes,9,,2025-10-05,0,0
D007,Redwood Logistics Platform,Redwood Logistics,Jake Morrison,Mid-Market,Closed Lost,Lost,38000,2025-10-28,2025-07-01,119,119,Inbound Demo,Gong,Lost - Chose Gong for conversation intelligence,Logistics,600,North America,Yes,Yes,7,,2025-10-25,2,3
D008,Pinnacle Retail Analytics,Pinnacle Retail Group,Sarah Chen,Enterprise,Closed Won,Won,145000,2025-11-20,2025-06-15,158,158,Conference Lead,,Won - Multi-thread deal with exec sponsor,Retail,4100,EMEA,Yes,Yes,10,,2025-11-20,1,0
D009,Silverline Tech Starter,Silverline Technologies,Priya Patel,SMB,Closed Lost,Lost,15000,2025-09-15,2025-08-01,45,45,Inbound Demo,Clari,Lost - Too expensive for their stage,Technology,80,North America,No,No,4,,2025-09-12,0,3
D010,Vanguard Insurance Suite,Vanguard Insurance Co,Marcus Rivera,Enterprise,Closed Won,Won,195000,2025-12-01,2025-05-01,214,214,Outbound SDR,,Won - Replaced legacy system after POC,Insurance,6200,North America,Yes,Yes,9,,2025-12-01,2,0
D011,Horizon Media Group,Horizon Media Group,Jake Morrison,Mid-Market,Closed Lost,Lost,48000,2025-10-10,2025-06-25,107,107,Webinar Lead,Salesforce,Lost - Internal champion left the company,Media,350,North America,Yes,No,5,,2025-10-08,1,2
D012,Cascade Energy Solutions,Cascade Energy,Priya Patel,Mid-Market,Closed Won,Won,52000,2025-11-05,2025-08-20,77,77,Partner Referral,,Won - Strong technical fit and fast POC,Energy,700,North America,Yes,Yes,8,,2025-11-05,0,0
D013,Summit Healthcare Platform,Summit Health Partners,Sarah Chen,Enterprise,Closed Lost,Lost,180000,2025-11-30,2025-04-15,229,229,Conference Lead,Gong,Lost - Could not get budget approval from CFO,Healthcare,3800,EMEA,Yes,No,4,,2025-11-25,3,5
D014,Meridian Consulting Annual,Meridian Consulting,Marcus Rivera,SMB,Closed Won,Won,22000,2025-10-18,2025-09-05,43,43,Inbound Demo,,Won - Referral from existing customer,Professional Services,200,North America,No,Yes,7,,2025-10-18,0,0
D015,Ironclad Defense Systems,Ironclad Defense,Priya Patel,Enterprise,Closed Lost,Lost,250000,2025-12-15,2025-03-20,270,270,Outbound SDR,Salesforce,Lost - Security requirements not met,Defense,8500,North America,Yes,No,3,,2025-12-10,5,5
D016,Blueshift Analytics Deal,Blueshift Analytics,Jake Morrison,Mid-Market,Closed Won,Won,47000,2025-10-25,2025-08-01,85,85,Inbound Demo,,Won - Competitive displacement of legacy tool,Technology,520,North America,Yes,Yes,8,,2025-10-25,0,0
D017,TerraFirm Construction,TerraFirm Construction,Sarah Chen,Mid-Market,Closed Lost,Lost,35000,2025-09-20,2025-06-10,102,102,Outbound SDR,HubSpot,Lost - Went with cheaper alternative,Construction,400,North America,No,No,4,,2025-09-18,2,2
D018,Northstar Financial Group,Northstar Financial,Marcus Rivera,Enterprise,Closed Won,Won,175000,2025-11-28,2025-06-01,180,180,Partner Referral,,Won - Board mandate to modernize revenue ops,Financial Services,4500,North America,Yes,Yes,10,,2025-11-28,1,0
D019,Apex Biotech Platform,Apex Biotechnology,Priya Patel,Mid-Market,Closed Won,Won,58000,2025-10-30,2025-07-15,107,107,Conference Lead,,Won - Strong product fit for biotech workflows,Life Sciences,650,EMEA,Yes,Yes,8,,2025-10-30,0,0
D020,Coastal Shipping Starter,Coastal Shipping Inc,Jake Morrison,SMB,Closed Lost,Lost,12000,2025-09-25,2025-08-20,36,36,Inbound Demo,Clari,Lost - No budget allocated this fiscal year,Logistics,150,North America,No,No,2,,2025-09-20,0,5
D021,Emerald Tech Solutions,Emerald Technologies,Sarah Chen,Enterprise,Closed Won,Won,160000,2025-12-10,2025-06-20,173,173,Outbound SDR,,Won - Multi-year contract after successful pilot,Technology,3000,North America,Yes,Yes,9,,2025-12-10,1,0
